,File,guessed_race
0,2009_08295.htm.txt,white
1,2009_08317.htm.txt,white
2,2010_03986.htm.txt,white
3,2010_08289.htm.txt,white
4,2011_00826.htm.txt,white
5,2008_08801.htm.txt,white
6,2008_08813.htm.txt,white
7,2008_08827.htm.txt,white
8,2008_08855.htm.txt,white
9,2008_08936.htm.txt,white
10,2008_10309.htm.txt,white
11,2008_10430.htm.txt,white
12,2009_00777.htm.txt,white
13,2009_00818.htm.txt,white
14,2009_01021.htm.txt,white
15,2009_02176.htm.txt,white
16,2009_04508.htm.txt,white
17,2009_07033.htm.txt,white
18,2009_07034.htm.txt,white
19,2007_10243.htm.txt,white
20,2007_10318.htm.txt,white
21,2007_10338.htm.txt,white
22,2008_00800.htm.txt,white
23,2008_00851.htm.txt,white
24,2008_01189.htm.txt,white
25,2008_02307.htm.txt,black
26,2008_02353.htm.txt,white
27,2008_02368.htm.txt,white
28,2008_02408.htm.txt,white
29,2008_05160.htm.txt,white
30,2008_05164.htm.txt,white
31,2008_05183.htm.txt,white
32,2008_06076.htm.txt,white
33,2003_18557.htm.txt,white
34,2003_20211.htm.txt,white
35,2004_03240.htm.txt,white
36,2004_03447.htm.txt,white
37,2004_04939.htm.txt,white
38,2004_05866.htm.txt,white
39,2004_05981.htm.txt,white
40,2004_08389.htm.txt,white
41,2004_08390.htm.txt,white
42,2004_08398.htm.txt,white
43,2004_09839.htm.txt,white
44,2005_02079.htm.txt,white
45,2005_03465.htm.txt,white
46,2005_03523.htm.txt,white
47,2005_03528.htm.txt,white
48,2005_04797.htm.txt,white
49,2005_04895.htm.txt,white
50,2005_05678.htm.txt,white
51,2005_05695.htm.txt,white
52,2005_05713.htm.txt,white
53,2005_07133.htm.txt,white
54,2005_07181.htm.txt,white
55,2007_00743.htm.txt,hispanic
56,2007_00744.htm.txt,hispanic
57,2007_00918.htm.txt,white
58,2007_02353.htm.txt,white
59,2007_03401.htm.txt,white
60,2007_03494.htm.txt,white
61,2007_03495.htm.txt,white
62,2007_04940.htm.txt,white
63,2007_05065.htm.txt,white
64,2007_05080.htm.txt,white
65,2007_05915.htm.txt,white
66,2007_05926.htm.txt,white
67,2007_05927.htm.txt,white
68,2007_05928.htm.txt,white
69,2007_05929.htm.txt,white
70,2007_05942.htm.txt,white
71,2007_05946.htm.txt,white
72,2007_07086.htm.txt,white
73,2007_08583.htm.txt,api
74,2007_08657.htm.txt,white
75,2007_08671.htm.txt,white
76,2005_08554.htm.txt,white
77,2005_09856.htm.txt,white
78,2005_09921.htm.txt,white
79,2006_00714.htm.txt,white
80,2006_04551.htm.txt,white
81,2006_04610.htm.txt,hispanic
82,2006_04650.htm.txt,white
83,2006_04654.htm.txt,white
84,2006_05473.htm.txt,white
85,2006_05477.htm.txt,white
86,2006_05517.htm.txt,white
87,2006_05531.htm.txt,white
88,2006_08432.htm.txt,white
89,2014_03374.htm.txt,white
90,2013_04505.htm.txt,white
91,2009_08296.htm.txt,white
92,2009_08341.htm.txt,white
93,2009_09745.htm.txt,white
94,2009_09782.htm.txt,white
95,2009_09857.htm.txt,white
96,2009_09870.htm.txt,white
97,2009_09871.htm.txt,white
98,2009_09893.htm.txt,white
99,2010_01165.htm.txt,white
100,2010_01189.htm.txt,hispanic
101,2010_02219.htm.txt,hispanic
102,2010_02248.htm.txt,white
103,2010_02352.htm.txt,white
104,2010_03647.htm.txt,white
105,2010_05081.htm.txt,white
106,2010_08226.htm.txt,white
107,2010_08259.htm.txt,white
108,2010_09685.htm.txt,hispanic
109,2011_02184.htm.txt,white
110,2011_02188.htm.txt,white
111,2011_04954.htm.txt,white
112,2011_05890.htm.txt,white
113,2008_08799.htm.txt,white
114,2008_08802.htm.txt,white
115,2008_08803.htm.txt,white
116,2008_08804.htm.txt,white
117,2008_08929.htm.txt,white
118,2008_10343.htm.txt,white
119,2009_00881.htm.txt,white
120,2009_01027.htm.txt,white
121,2009_02136.htm.txt,white
122,2009_03243.htm.txt,white
123,2009_04621.htm.txt,white
124,2009_05483.htm.txt,white
125,2009_05809.htm.txt,white
126,2007_09289.htm.txt,white
127,2007_10259.htm.txt,hispanic
128,2008_00852.htm.txt,white
129,2008_01248.htm.txt,hispanic
130,2008_03880.htm.txt,white
131,2008_04177.htm.txt,white
132,2008_05213.htm.txt,hispanic
133,2008_06027.htm.txt,hispanic
134,2008_06075.htm.txt,white
135,2008_06110.htm.txt,white
136,2003_18746.htm.txt,white
137,2003_18755.htm.txt,white
138,2003_20064.htm.txt,white
139,2003_20105.htm.txt,hispanic
140,2003_20227.htm.txt,white
141,2003_20255.htm.txt,white
142,2004_00778.htm.txt,white
143,2004_00783.htm.txt,white
144,2004_00784.htm.txt,white
145,2004_00833.htm.txt,white
146,2004_00869.htm.txt,white
147,2004_02063.htm.txt,white
148,2004_03243.htm.txt,white
149,2004_04963.htm.txt,white
150,2004_05979.htm.txt,hispanic
151,2004_06902.htm.txt,hispanic
152,2004_06904.htm.txt,white
153,2004_08359.htm.txt,white
154,2004_08392.htm.txt,white
155,2004_08532.htm.txt,white
156,2004_09869.htm.txt,white
157,2005_00685.htm.txt,white
158,2005_00688.htm.txt,hispanic
159,2005_00708.htm.txt,white
160,2005_03398.htm.txt,white
161,2005_03436.htm.txt,white
162,2005_03443.htm.txt,white
163,2005_03490.htm.txt,hispanic
164,2005_05705.htm.txt,white
165,2005_05712.htm.txt,white
166,2005_05715.htm.txt,white
167,2005_07017.htm.txt,white
168,2005_07018.htm.txt,white
169,2005_07140.htm.txt,white
170,2006_09806.htm.txt,hispanic
171,2006_09838.htm.txt,white
172,2006_09853.htm.txt,white
173,2007_00866.htm.txt,white
174,2007_02315.htm.txt,white
175,2007_03440.htm.txt,white
176,2007_03475.htm.txt,white
177,2007_04912.htm.txt,hispanic
178,2007_04923.htm.txt,white
179,2007_05876.htm.txt,white
180,2007_05904.htm.txt,white
181,2007_07221.htm.txt,hispanic
182,2007_08553.htm.txt,white
183,2007_08634.htm.txt,white
184,2005_08555.htm.txt,white
185,2005_08585.htm.txt,white
186,2005_10002.htm.txt,white
187,2005_10007.htm.txt,hispanic
188,2006_00715.htm.txt,white
189,2006_00795.htm.txt,white
190,2006_02044.htm.txt,hispanic
191,2006_02046.htm.txt,white
192,2006_02047.htm.txt,white
193,2006_04657.htm.txt,white
194,2006_04688.htm.txt,white
195,2006_04701.htm.txt,white
196,2006_05484.htm.txt,white
197,2014_01631.htm.txt,white
198,2014_01779.htm.txt,white
199,2014_01869.htm.txt,white
200,2014_01910.htm.txt,white
201,2014_02204.htm.txt,white
202,2014_03061.htm.txt,white
203,2014_03062.htm.txt,white
204,2014_03083.htm.txt,white
205,2014_03285.htm.txt,hispanic
206,2014_03392.htm.txt,white
207,2014_03395.htm.txt,white
208,2014_03420.htm.txt,white
209,2014_05258.htm.txt,white
210,2014_05736.htm.txt,white
211,2014_06850.htm.txt,white
212,2014_07878.htm.txt,white
213,2014_08325.htm.txt,white
214,2015_00793.htm.txt,white
215,2015_01013.htm.txt,white
216,2015_01111.htm.txt,white
217,2015_02781.htm.txt,white
218,2015_03191.htm.txt,hispanic
219,2015_03553.htm.txt,white
220,2013_00357.htm.txt,hispanic
221,2013_01430.htm.txt,white
222,2013_02089.htm.txt,hispanic
223,2013_02929.htm.txt,white
224,2013_04167.htm.txt,hispanic
225,2013_04182.htm.txt,white
226,2013_04516.htm.txt,white
227,2013_04618.htm.txt,white
228,2013_05133.htm.txt,white
229,2013_05407.htm.txt,white
230,2013_05918.htm.txt,white
231,2013_06100.htm.txt,white
232,2013_06121.htm.txt,white
233,2013_07064.htm.txt,white
234,2014_00050.htm.txt,white
235,2015_03708.htm.txt,white
236,2015_04345.htm.txt,white
237,2015_05838.htm.txt,hispanic
238,2015_06358.htm.txt,hispanic
239,2015_08721.htm.txt,white
240,2016_00788.htm.txt,white
241,2016_01086.htm.txt,white
242,2016_01087.htm.txt,white
243,2016_02112.htm.txt,hispanic
244,2016_02378.htm.txt,white
245,2016_03015.htm.txt,white
246,2016_04617.htm.txt,white
247,2016_04955.htm.txt,white
248,2016_05282.htm.txt,white
249,2016_05823.htm.txt,white
250,2016_06095.htm.txt,white
251,2016_06565.htm.txt,white
252,2016_07491.htm.txt,hispanic
253,2016_08095.htm.txt,hispanic
254,2016_08096.htm.txt,hispanic
255,2017_00779.htm.txt,white
256,2017_00873.htm.txt,white
257,2017_01109.htm.txt,white
258,2017_02223.htm.txt,white
259,2017_02324.htm.txt,white
260,2017_02444.htm.txt,white
261,2017_03201.htm.txt,white
262,2017_03962.htm.txt,white
263,2017_05374.htm.txt,white
264,2009_08297.htm.txt,white
265,2009_08311.htm.txt,white
266,2010_01190.htm.txt,white
267,2010_01290.htm.txt,white
268,2010_02218.htm.txt,white
269,2010_02325.htm.txt,white
270,2010_05164.htm.txt,white
271,2010_05188.htm.txt,white
272,2010_08273.htm.txt,white
273,2010_08479.htm.txt,white
274,2010_08480.htm.txt,white
275,2010_09659.htm.txt,white
276,2011_00844.htm.txt,white
277,2011_02248.htm.txt,white
278,2011_02598.htm.txt,white
279,2011_03467.htm.txt,white
280,2011_03783.htm.txt,white
281,2011_05307.htm.txt,white
282,2011_06749.htm.txt,white
283,2011_06784.htm.txt,white
284,2011_07112.htm.txt,white
285,2011_07959.htm.txt,white
286,2011_08038.htm.txt,hispanic
287,2011_08404.htm.txt,black
288,2008_08938.htm.txt,white
289,2009_00859.htm.txt,white
290,2009_02059.htm.txt,white
291,2009_03279.htm.txt,white
292,2009_04629.htm.txt,white
293,2009_05443.htm.txt,white
294,2009_05444.htm.txt,white
295,2009_06981.htm.txt,white
296,2009_08264.htm.txt,white
297,2007_10232.htm.txt,white
298,2007_10292.htm.txt,white
299,2008_02273.htm.txt,white
300,2008_02274.htm.txt,white
301,2008_02342.htm.txt,white
302,2008_02385.htm.txt,white
303,2008_03828.htm.txt,white
304,2008_03862.htm.txt,white
305,2008_04163.htm.txt,white
306,2008_05216.htm.txt,white
307,2008_07377.htm.txt,hispanic
308,2004_00779.htm.txt,white
309,2004_01874.htm.txt,white
310,2004_01943.htm.txt,white
311,2004_01950.htm.txt,white
312,2004_01967.htm.txt,api
313,2004_03344.htm.txt,black
314,2004_04898.htm.txt,white
315,2004_04957.htm.txt,white
316,2004_05918.htm.txt,white
317,2004_08355.htm.txt,white
318,2004_08480.htm.txt,hispanic
319,2004_09977.htm.txt,white
320,2004_09978.htm.txt,white
321,2005_00803.htm.txt,white
322,2005_03446.htm.txt,white
323,2005_03447.htm.txt,white
324,2005_03530.htm.txt,white
325,2005_03531.htm.txt,white
326,2005_04789.htm.txt,white
327,2005_05717.htm.txt,white
328,2005_07019.htm.txt,white
329,2005_07113.htm.txt,white
330,2006_09857.htm.txt,white
331,2007_00802.htm.txt,white
332,2007_02237.htm.txt,white
333,2007_02241.htm.txt,white
334,2007_02332.htm.txt,white
335,2007_03477.htm.txt,white
336,2007_03524.htm.txt,white
337,2007_07249.htm.txt,white
338,2007_08586.htm.txt,white
339,2005_09936.htm.txt,hispanic
340,2005_10005.htm.txt,white
341,2006_00769.htm.txt,white
342,2006_00787.htm.txt,white
343,2006_00849.htm.txt,white
344,2006_00850.htm.txt,white
345,2006_00869.htm.txt,white
346,2006_01917.htm.txt,white
347,2006_01942.htm.txt,white
348,2006_03230.htm.txt,white
349,2006_03233.htm.txt,white
350,2006_03332.htm.txt,white
351,2006_04528.htm.txt,white
352,2006_04615.htm.txt,white
353,2006_05460.htm.txt,white
354,2014_02172.htm.txt,hispanic
355,2014_02202.htm.txt,white
356,2014_03084.htm.txt,white
357,2014_03396.htm.txt,white
358,2014_04337.htm.txt,white
359,2014_04665.htm.txt,white
360,2014_05254.htm.txt,white
361,2014_05272.htm.txt,white
362,2014_05284.htm.txt,white
363,2014_05713.htm.txt,white
364,2014_05734.htm.txt,white
365,2014_06707.htm.txt,white
366,2014_06737.htm.txt,white
367,2014_07811.htm.txt,white
368,2014_07826.htm.txt,white
369,2014_07877.htm.txt,white
370,2015_00092.htm.txt,white
371,2015_00144.htm.txt,black
372,2015_00167.htm.txt,hispanic
373,2015_01112.htm.txt,white
374,2015_02284.htm.txt,white
375,2015_02298.htm.txt,white
376,2015_02318.htm.txt,white
377,2013_00626.htm.txt,white
378,2013_03253.htm.txt,white
379,2013_04511.htm.txt,white
380,2013_04931.htm.txt,white
381,2013_05136.htm.txt,black
382,2013_05157.htm.txt,white
383,2013_06452.htm.txt,hispanic
384,2013_06470.htm.txt,white
385,2013_07605.htm.txt,white
386,2013_08772.htm.txt,white
387,2014_00831.htm.txt,white
388,2014_01066.htm.txt,white
389,2015_03646.htm.txt,white
390,2015_03648.htm.txt,white
391,2015_03678.htm.txt,white
392,2015_03960.htm.txt,white
393,2015_04971.htm.txt,white
394,2015_05337.htm.txt,white
395,2015_05379.htm.txt,black
396,2015_05802.htm.txt,white
397,2015_05845.htm.txt,white
398,2015_05846.htm.txt,hispanic
399,2015_06081.htm.txt,white
400,2015_08257.htm.txt,white
401,2015_09472.htm.txt,white
402,2015_09721.htm.txt,white
403,2015_09742.htm.txt,white
404,2015_09757.htm.txt,white
405,2016_00789.htm.txt,white
406,2016_00853.htm.txt,white
407,2016_01083.htm.txt,white
408,2016_01095.htm.txt,white
409,2016_02191.htm.txt,white
410,2016_02264.htm.txt,white
411,2016_03302.htm.txt,hispanic
412,2016_03317.htm.txt,black
413,2016_03327.htm.txt,white
414,2016_03331.htm.txt,white
415,2016_04542.htm.txt,white
416,2016_04558.htm.txt,white
417,2016_04578.htm.txt,white
418,2016_04828.htm.txt,white
419,2016_06353.htm.txt,hispanic
420,2016_06366.htm.txt,white
421,2016_07431.htm.txt,white
422,2016_07492.htm.txt,white
423,2016_07536.htm.txt,white
424,2016_07537.htm.txt,white
425,2016_07540.htm.txt,white
426,2016_07785.htm.txt,white
427,2016_08620.htm.txt,white
428,2016_08621.htm.txt,white
429,2017_00884.htm.txt,white
430,2017_01110.htm.txt,white
431,2017_02207.htm.txt,white
432,2017_03323.htm.txt,white
433,2017_03324.htm.txt,white
434,2017_03681.htm.txt,white
435,2017_04605.htm.txt,api
436,2017_04695.htm.txt,white
437,2017_04984.htm.txt,white
438,2017_05384.htm.txt,white
439,2009_08298.htm.txt,white
440,2010_02331.htm.txt,white
441,2009_00815.htm.txt,white
442,2007_10337.htm.txt,white
443,2008_01235.htm.txt,white
444,2008_07302.htm.txt,white
445,2007_08656.htm.txt,white
446,2014_07825.htm.txt,white
447,2015_04017.htm.txt,white
448,2009_08312.htm.txt,white
449,2009_08397.htm.txt,white
450,2009_08421.htm.txt,white
451,2009_09821.htm.txt,white
452,2009_09822.htm.txt,white
453,2009_09823.htm.txt,white
454,2009_09824.htm.txt,white
455,2010_01292.htm.txt,white
456,2010_02257.htm.txt,white
457,2010_02634.htm.txt,white
458,2010_03993.htm.txt,white
459,2010_05055.htm.txt,white
460,2010_05083.htm.txt,white
461,2010_05093.htm.txt,hispanic
462,2010_05098.htm.txt,hispanic
463,2010_06858.htm.txt,white
464,2010_08243.htm.txt,white
465,2010_08476.htm.txt,white
466,2010_09765.htm.txt,white
467,2011_03366.htm.txt,white
468,2011_03424.htm.txt,white
469,2011_03782.htm.txt,white
470,2011_03788.htm.txt,white
471,2011_04840.htm.txt,white
472,2011_05303.htm.txt,white
473,2011_05333.htm.txt,white
474,2008_08839.htm.txt,white
475,2009_00786.htm.txt,white
476,2009_02048.htm.txt,white
477,2009_02084.htm.txt,white
478,2009_02121.htm.txt,white
479,2009_02165.htm.txt,white
480,2009_03211.htm.txt,white
481,2009_03292.htm.txt,white
482,2009_05486.htm.txt,white
483,2009_06944.htm.txt,white
484,2009_07015.htm.txt,white
485,2007_10227.htm.txt,white
486,2007_10233.htm.txt,white
487,2007_10340.htm.txt,white
488,2008_00829.htm.txt,hispanic
489,2008_00840.htm.txt,hispanic
490,2008_00856.htm.txt,white
491,2008_01243.htm.txt,white
492,2008_02245.htm.txt,white
493,2008_02248.htm.txt,white
494,2008_02260.htm.txt,white
495,2008_02261.htm.txt,white
496,2008_02308.htm.txt,white
497,2008_02356.htm.txt,white
498,2008_02371.htm.txt,hispanic
499,2008_03737.htm.txt,white
500,2008_03773.htm.txt,white
501,2008_03790.htm.txt,white
502,2003_20114.htm.txt,white
503,2003_20214.htm.txt,white
504,2004_01862.htm.txt,white
505,2004_02000.htm.txt,white
506,2004_03404.htm.txt,white
507,2004_04983.htm.txt,white
508,2004_09942.htm.txt,hispanic
509,2005_00706.htm.txt,white
510,2005_00822.htm.txt,white
511,2005_02016.htm.txt,white
512,2005_02150.htm.txt,white
513,2005_03524.htm.txt,white
514,2005_04748.htm.txt,white
515,2005_04756.htm.txt,hispanic
516,2005_04840.htm.txt,hispanic
517,2005_05691.htm.txt,white
518,2005_07144.htm.txt,white
519,2005_07179.htm.txt,hispanic
520,2005_07180.htm.txt,white
521,2006_09872.htm.txt,white
522,2006_09921.htm.txt,white
523,2007_03511.htm.txt,white
524,2007_04925.htm.txt,white
525,2007_04945.htm.txt,white
526,2007_05892.htm.txt,white
527,2007_07121.htm.txt,white
528,2007_07201.htm.txt,white
529,2007_08487.htm.txt,white
530,2007_08509.htm.txt,white
531,2007_08535.htm.txt,white
532,2007_08573.htm.txt,white
533,2007_08608.htm.txt,white
534,2005_09437.htm.txt,white
535,2005_09858.htm.txt,white
536,2005_09877.htm.txt,white
537,2005_09943.htm.txt,white
538,2005_09965.htm.txt,white
539,2006_00716.htm.txt,white
540,2006_00770.htm.txt,hispanic
541,2006_00783.htm.txt,white
542,2006_03308.htm.txt,hispanic
543,2006_03313.htm.txt,white
